name,attribute,class,type,ban_tcg,ban_ocg
Guardragon Reincarnation,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Guardragon Shield,SPELL/TRAP,Field,Field Spell,NA,NA
Guerilla Kite,FIRE,Fiend,Tuner Monster,NA,NA
Guiding Ariadne,LIGHT,Fairy,Pendulum Effect Monster,NA,NA
Guiding Light,LIGHT,Fairy,Effect Monster,NA,NA
Guitar Gurnards Duonigis,WATER,Sea Serpent,Effect Monster,NA,NA
Guldfaxe of the Nordic Beasts,LIGHT,Beast,Tuner Monster,NA,NA
Gullveig of the Nordic Ascendant,LIGHT,Fairy,Link Monster,NA,NA
Gundari,FIRE,Pyro,Spirit Monster,NA,NA
"Gungnir, Dragon of the Ice Barrier",WATER,Dragon,Synchro Monster,NA,NA
Gussari @Ignister,EARTH,Cyberse,Effect Monster,NA,NA
Gust,SPELL/TRAP,Normal,Normal Trap,NA,NA
Gust Fan,SPELL/TRAP,Equip,Equip Spell,NA,NA
Gusto Codor,WIND,Winged Beast,Effect Monster,NA,NA
Gusto Egul,WIND,Winged Beast,Tuner Monster,NA,NA
Gusto Falco,WIND,Winged Beast,Tuner Monster,NA,NA
Gusto Griffin,WIND,Winged Beast,Effect Monster,NA,NA
Gusto Gulldo,WIND,Winged Beast,Tuner Monster,NA,NA
Gusto Squirro,WIND,Thunder,Tuner Monster,NA,NA
Gusto Thunbolt,WIND,Thunder,Effect Monster,NA,NA
Guts of Steel,SPELL/TRAP,Normal,Normal Spell,NA,NA
"Gwenhwyfar, Queen of Noble Arms",LIGHT,Spellcaster,Effect Monster,NA,NA
Gyaku-Gire Panda,EARTH,Beast,Effect Monster,NA,NA
Gyakutenno Megami,LIGHT,Fairy,Normal Monster,NA,NA
Gyroid,WIND,Machine,Effect Monster,NA,NA
H - Heated Heart,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hack Worm,DARK,Machine,Effect Monster,NA,NA
Hade-Hane,EARTH,Beast,Flip Effect Monster,NA,NA
"Hailon, the Timelord",EARTH,Fairy,Effect Monster,NA,NA
"Hajun, the Winged Mayakashi",WIND,Zombie,Effect Monster,NA,NA
Half Counter,SPELL/TRAP,Normal,Normal Trap,NA,NA
Half or Nothing,SPELL/TRAP,Normal,Normal Trap,NA,NA
Half Shut,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Half Unbreak,SPELL/TRAP,Normal,Normal Trap,NA,NA
Halfway to Forever,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hallohallo,DARK,Fiend,Pendulum Normal Monster,NA,NA
Hallowed Life Barrier,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hamburger Recipe,SPELL/TRAP,Ritual,Ritual Spell,NA,NA
Hammer Bounzer,EARTH,Warrior,Effect Monster,NA,NA
Hammer Shark,WATER,Fish,Effect Monster,NA,NA
Hammer Shot,SPELL/TRAP,Normal,Normal Spell,NA,NA
"Hamon, Lord of Striking Thunder",LIGHT,Thunder,Effect Monster,NA,NA
Hand Destruction,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Hand of Nephthys,WIND,Spellcaster,Effect Monster,NA,NA
Hand of the Six Samurai,FIRE,Warrior,Effect Monster,NA,NA
Hand-Holding Genie,DARK,Fiend,Effect Monster,NA,NA
Handcuffs Dragon,WIND,Dragon,Effect Monster,NA,NA
Handigallop,EARTH,Beast,Effect Monster,NA,NA
Hane-Hane,EARTH,Beast,Flip Effect Monster,NA,NA
Hanewata,LIGHT,Fairy,Tuner Monster,NA,NA
Haniwa,EARTH,Rock,Normal Monster,NA,NA
Hannibal Necromancer,DARK,Spellcaster,Effect Monster,NA,NA
Happy Lover,LIGHT,Fairy,Normal Monster,NA,NA
Hard Armor,EARTH,Warrior,Normal Monster,NA,NA
Hard-sellin' Goblin,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Hard-sellin' Zombie,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Hardened Armed Dragon,EARTH,Dragon,Effect Monster,NA,NA
Harmonic Oscillation,SPELL/TRAP,Normal,Normal Spell,NA,NA
Harmonic Waves,SPELL/TRAP,Normal,Normal Spell,NA,NA
Harmonizing Magician,DARK,Spellcaster,Pendulum Tuner Effect Monster,NA,Limited
Harpie Channeler,WIND,Winged Beast,Effect Monster,NA,NA
Harpie Conductor,WIND,Winged Beast,Link Monster,NA,NA
Harpie Dancer,WIND,Winged Beast,Effect Monster,NA,NA
Harpie Girl,WIND,Winged Beast,Normal Monster,NA,NA
Harpie Harpist,WIND,Winged Beast,Effect Monster,NA,NA
Harpie Lady,WIND,Winged Beast,Normal Monster,NA,NA
Harpie Lady 1,WIND,Winged Beast,Effect Monster,NA,NA
Harpie Lady 2,WIND,Winged Beast,Effect Monster,NA,NA
Harpie Lady 3,WIND,Winged Beast,Effect Monster,NA,NA
Harpie Lady Elegance,SPELL/TRAP,Normal,Normal Trap,NA,NA
Harpie Lady Phoenix Formation,SPELL/TRAP,Normal,Normal Spell,NA,NA
Harpie Lady Sisters,WIND,Winged Beast,Effect Monster,NA,NA
Harpie Oracle,WIND,Winged Beast,Effect Monster,NA,NA
Harpie Perfumer,WIND,Winged Beast,Effect Monster,NA,NA
Harpie Queen,WIND,Winged Beast,Effect Monster,NA,NA
Harpie's Feather Duster,SPELL/TRAP,Normal,Normal Spell,Limited,Limited
Harpie's Feather Rest,SPELL/TRAP,Normal,Normal Spell,NA,NA
Harpie's Feather Storm,SPELL/TRAP,Normal,Normal Trap,NA,NA
Harpie's Pet Baby Dragon,WIND,Dragon,Effect Monster,NA,NA
Harpie's Pet Dragon,WIND,Dragon,Effect Monster,NA,NA
Harpie's Pet Phantasmal Dragon,WIND,Dragon,XYZ Monster,NA,NA
Harpies' Hunting Ground,SPELL/TRAP,Field,Field Spell,NA,NA
"Harr, Generaider Boss of Storms",DARK,Spellcaster,Effect Monster,NA,NA
Harvest Angel of Wisdom,LIGHT,Fairy,Effect Monster,NA,NA
Hate Buster,SPELL/TRAP,Normal,Normal Trap,NA,NA
Haunted Shrine,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hayabusa Knight,EARTH,Warrior,Effect Monster,NA,NA
Hayate the Earth Star,EARTH,Warrior,Effect Monster,NA,NA
Hazy Flame Basiltrice,FIRE,Pyro,XYZ Monster,NA,NA
Hazy Flame Cerbereus,FIRE,Beast,Effect Monster,NA,NA
Hazy Flame Griffin,FIRE,Winged Beast,Effect Monster,NA,NA
Hazy Flame Hydra,FIRE,Dinosaur,Effect Monster,NA,NA
Hazy Flame Hyppogrif,FIRE,Pyro,Effect Monster,NA,NA
Hazy Flame Mantikor,FIRE,Winged Beast,Effect Monster,NA,NA
Hazy Flame Peryton,FIRE,Pyro,Effect Monster,NA,NA
Hazy Flame Sphynx,FIRE,Beast-Warrior,Effect Monster,NA,NA
Hazy Glory,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Hazy Pillar,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Head Judging,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Headless Knight,EARTH,Fiend,Normal Monster,NA,NA
Healing Wave Generator,LIGHT,Machine,Effect Monster,NA,NA
Heart of Clear Water,SPELL/TRAP,Equip,Equip Spell,NA,NA
Heart of the Underdog,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Heartfelt Appeal,SPELL/TRAP,Normal,Normal Trap,NA,NA
Heartless Drop Off,SPELL/TRAP,Counter,Counter Trap,NA,NA
Heat Wave,SPELL/TRAP,Normal,Normal Spell,NA,NA
Heavenly Dragon Circle,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Heavenly Radiance - Bahartiya,LIGHT,Dragon,Effect Monster,NA,NA
Heavenly Zephyr - Miradora,WIND,Dragon,Effect Monster,NA,NA
Heavy Armored Train Ironwolf,EARTH,Machine,XYZ Monster,NA,NA
Heavy Forward,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Heavy Freight Train Derricrane,EARTH,Machine,Effect Monster,NA,NA
Heavy Knight of the Flame,FIRE,Zombie,Gemini Monster,NA,NA
Heavy Mech Support Armor,LIGHT,Machine,Union Effect Monster,NA,NA
Heavy Mech Support Platform,DARK,Machine,Union Effect Monster,NA,NA
Heavy Metal Raiders,SPELL/TRAP,Field,Field Spell,NA,NA
Heavy Metal Raiders (Skill Card),SPELL/TRAP,Keith,Skill Card,NA,NA
Heavy Slump,SPELL/TRAP,Normal,Normal Trap,NA,NA
Heavy Storm,SPELL/TRAP,Normal,Normal Spell,Banned,Banned
Heavy Storm Duster,SPELL/TRAP,Normal,Normal Trap,NA,NA
Heavymetalfoes Amalgam,FIRE,Psychic,Link Monster,NA,NA
Heavymetalfoes Electrumite,FIRE,Psychic,Link Monster,Banned,Limited
"Hebo, Lord of the River",WATER,Aqua,Spirit Monster,NA,NA
Hecatrice,LIGHT,Fairy,Effect Monster,NA,NA
Hedge Guard,EARTH,Plant,Effect Monster,NA,NA
"Hela, Generaider Boss of Doom",DARK,Zombie,Effect Monster,NA,NA
Helios - The Primordial Sun,LIGHT,Pyro,Effect Monster,NA,NA
Helios Duo Megistus,LIGHT,Pyro,Effect Monster,NA,NA
Helios Trice Megistus,LIGHT,Pyro,Effect Monster,NA,NA
Heliosphere Dragon,LIGHT,Dragon,Effect Monster,NA,NA
Hellebore the Rikka Fairy,WATER,Plant,Effect Monster,NA,NA
Hellshaddoll Void,FIRE,Fiend,Flip Effect Monster,NA,NA
"Helmer, Helmsman Fur Hire",WATER,Aqua,Effect Monster,NA,NA
Helping Robo for Combat,LIGHT,Machine,Effect Monster,NA,NA
Helpoemer,DARK,Fiend,Effect Monster,NA,NA
Herald of Creation,LIGHT,Spellcaster,Effect Monster,NA,NA
Herald of Green Light,LIGHT,Fairy,Effect Monster,NA,NA
Herald of Mirage Lights,LIGHT,Fairy,Link Monster,NA,NA
Herald of Orange Light,LIGHT,Fairy,Tuner Monster,NA,NA
Herald of Perfection,LIGHT,Fairy,Ritual Effect Monster,NA,NA
Herald of Pure Light,LIGHT,Fairy,XYZ Monster,NA,NA
Herald of Purple Light,LIGHT,Fairy,Effect Monster,NA,NA
Herald of the Abyss,SPELL/TRAP,Normal,Normal Spell,NA,NA
Herald of the Arc Light,LIGHT,Fairy,Synchro Monster,NA,NA
Herald of Ultimateness,LIGHT,Fairy,Ritual Effect Monster,NA,NA
Heraldic Beast Aberconway,WIND,Dragon,Effect Monster,NA,NA
Heraldic Beast Amphisbaena,WIND,Dragon,Effect Monster,NA,NA
Heraldic Beast Basilisk,EARTH,Beast,Effect Monster,NA,NA
Heraldic Beast Berners Falcon,WIND,Winged Beast,Effect Monster,NA,NA
Heraldic Beast Eale,EARTH,Beast,Effect Monster,NA,NA
Heraldic Beast Leo,EARTH,Beast,Effect Monster,NA,NA
Heraldic Beast Twin-Headed Eagle,WIND,Winged Beast,Effect Monster,NA,NA
Heraldic Beast Unicorn,LIGHT,Beast,Effect Monster,NA,NA
Heraldry Change,SPELL/TRAP,Normal,Normal Trap,NA,NA
Heraldry Reborn,SPELL/TRAP,Normal,Normal Spell,NA,NA
Heraldry Record,SPELL/TRAP,Counter,Counter Trap,NA,NA
Herculean Power,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Hercules Beetle,EARTH,Insect,Normal Monster,NA,NA
Heritage of the Chalice,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hermit of Prophecy,EARTH,Spellcaster,Effect Monster,NA,NA
Hero Barrier,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hero Blast,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hero Counterattack,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hero Flash!!,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hero Heart,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hero Kid,EARTH,Warrior,Effect Monster,NA,NA
Hero Mask,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hero Medal,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hero of the East,EARTH,Warrior,Normal Monster,NA,NA
Hero Ring,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hero Signal,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hero Spirit,SPELL/TRAP,Normal,Normal Trap,NA,NA
HERO's Bond,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hero's Rule 2,SPELL/TRAP,Counter,Counter Trap,NA,NA
Heroic Advance,SPELL/TRAP,Normal,Normal Trap,NA,NA
Heroic Challenger - Ambush Soldier,EARTH,Warrior,Effect Monster,NA,NA
Heroic Challenger - Assault Halberd,EARTH,Warrior,Effect Monster,NA,NA
Heroic Challenger - Clasp Sword,EARTH,Warrior,Effect Monster,NA,NA
Heroic Challenger - Double Lance,EARTH,Warrior,Effect Monster,NA,NA
Heroic Challenger - Extra Sword,EARTH,Warrior,Effect Monster,NA,NA
Heroic Challenger - Night Watchman,EARTH,Warrior,Effect Monster,NA,NA
Heroic Challenger - Spartan,EARTH,Warrior,Effect Monster,NA,NA
Heroic Challenger - Swordshield,EARTH,Warrior,Effect Monster,NA,NA
Heroic Challenger - Thousand Blades,EARTH,Warrior,Effect Monster,NA,NA
Heroic Challenger - War Hammer,EARTH,Warrior,Effect Monster,NA,NA
Heroic Champion - Excalibur,LIGHT,Warrior,XYZ Monster,NA,NA
Heroic Champion - Gandiva,EARTH,Warrior,XYZ Monster,NA,NA
Heroic Champion - Kusanagi,EARTH,Warrior,XYZ Monster,NA,NA
Heroic Chance,SPELL/TRAP,Normal,Normal Spell,NA,NA
Heroic Gift,SPELL/TRAP,Normal,Normal Trap,NA,NA
Heroic Retribution Sword,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hexa Spirit of the Ice Barrier,WATER,Sea Serpent,Tuner Monster,NA,NA
Hexatellarknight,SPELL/TRAP,Field,Field Spell,NA,NA
Hexe Trude,DARK,Spellcaster,Effect Monster,NA,NA
"Hey, Trunade!",SPELL/TRAP,Normal,Normal Spell,NA,NA
Hi-Five the Sky,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hi-Speed Re-Level,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hi-Speedroid Chanbara,WIND,Machine,Synchro Monster,NA,NA
Hi-Speedroid Hagoita,WIND,Machine,Synchro Monster,NA,NA
Hi-Speedroid Kendama,WIND,Machine,Synchro Monster,NA,NA
Hi-Speedroid Kitedrake,WIND,Machine,Synchro Monster,NA,NA
Hi-Speedroid Puzzle,WIND,Machine,Synchro Monster,NA,NA
Hi-Speedroid Rubber Band Shooter,WIND,Machine,Link Monster,NA,NA
Hibernation Dragon,DARK,Dragon,Effect Monster,NA,NA
Hibikime,EARTH,Warrior,Normal Monster,NA,NA
Hidden Armory,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hidden Fangs of Revenge,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Hidden Parasite,SPELL/TRAP,Weevil,Skill Card,NA,NA
Hidden Soldiers,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hidden Spellbook,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hidden Temples of Necrovalley,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Hidden Village of Ninjitsu Arts,SPELL/TRAP,Field,Field Spell,NA,NA
Hieracosphinx,EARTH,Rock,Effect Monster,NA,NA
Hieratic Chant,SPELL/TRAP,Yami Marik,Skill Card,NA,NA
Hieratic Dragon King of Atum,LIGHT,Dragon,XYZ Monster,NA,NA
Hieratic Dragon of Asar,LIGHT,Dragon,Effect Monster,NA,NA
Hieratic Dragon of Eset,LIGHT,Dragon,Effect Monster,NA,NA
Hieratic Dragon of Gebeb,LIGHT,Dragon,Effect Monster,NA,NA
Hieratic Dragon of Nebthet,LIGHT,Dragon,Effect Monster,NA,NA
Hieratic Dragon of Nuit,LIGHT,Dragon,Effect Monster,NA,NA
Hieratic Dragon of Su,LIGHT,Dragon,Effect Monster,NA,NA
Hieratic Dragon of Sutekh,LIGHT,Dragon,Effect Monster,NA,NA
Hieratic Dragon of Tefnuit,LIGHT,Dragon,Effect Monster,NA,NA
Hieratic Heavenly Dragon Overlord of Heliopolis,LIGHT,Dragon,XYZ Monster,NA,NA
Hieratic Seal From the Ashes,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Hieratic Seal of Banishment,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hieratic Seal of Convocation,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hieratic Seal of Creation,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hieratic Seal of Reflection,SPELL/TRAP,Counter,Counter Trap,NA,NA
Hieratic Seal of Supremacy,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hieratic Seal of the Dragon King,LIGHT,Dragon,Gemini Monster,NA,NA
Hieratic Seal of the Heavenly Spheres,LIGHT,Dragon,Link Monster,NA,NA
Hieratic Seal of the Sun Dragon Overlord,LIGHT,Dragon,Normal Monster,NA,NA
Hieratic Sun Dragon Overlord of Heliopolis,LIGHT,Dragon,XYZ Monster,NA,NA
Hieroglyph Lithograph,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hierophant of Prophecy,DARK,Spellcaster,XYZ Monster,NA,NA
High Priestess of Prophecy,LIGHT,Spellcaster,Effect Monster,NA,NA
High Rate Draw,SPELL/TRAP,Normal,Normal Trap,NA,NA
High Tide Gyojin,WATER,Aqua,Normal Monster,NA,NA
High Tide on Fire Island,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hiita the Fire Charmer,FIRE,Spellcaster,Flip Effect Monster,NA,NA
"Hiita the Fire Charmer, Ablaze",FIRE,Spellcaster,Link Monster,NA,NA
Hinezumi Hanabi,FIRE,Beast,Effect Monster,NA,NA
Hino-Kagu-Tsuchi,FIRE,Pyro,Spirit Monster,NA,NA
Hinotama,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hinotama Soul,FIRE,Pyro,Normal Monster,NA,NA
Hip Hoshiningen,LIGHT,Fairy,Link Monster,NA,NA
Hippo Carnival,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Hippo Token,EARTH,Beast,Token,NA,NA
Hiro's Shadow Scout,DARK,Fiend,Flip Effect Monster,NA,NA
Hitodenchak,WATER,Aqua,Normal Monster,NA,NA
Hitotsu-Me Giant,EARTH,Beast-Warrior,Normal Monster,NA,NA
Hiyari @Ignister,WATER,Cyberse,Effect Monster,NA,NA
Holding Arms,DARK,Fiend,Effect Monster,NA,NA
Holding Legs,DARK,Fiend,Effect Monster,NA,NA
Hollow Giants,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Holograh,EARTH,Machine,Normal Monster,NA,NA
Holy Night Advent,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Holy Night Astel,LIGHT,Fairy,Effect Monster,NA,NA
Holy Night Bellfire,SPELL/TRAP,Normal,Normal Spell,NA,NA
Holy Night Blast,SPELL/TRAP,Normal,Normal Trap,NA,NA
Holy Night Ciel,LIGHT,Fairy,Effect Monster,NA,NA
Holy Night Flamel,LIGHT,Fairy,Effect Monster,NA,NA
Holy Night Nativity,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
Holy Night Rayel,LIGHT,Fairy,Effect Monster,NA,NA
Holy Night Sky,SPELL/TRAP,Field,Field Spell,NA,NA
Homunculus the Alchemic Being,LIGHT,Plant,Effect Monster,NA,NA
Honest,LIGHT,Fairy,Effect Monster,NA,NA
Honeybot,LIGHT,Cyberse,Link Monster,NA,NA
Hop Ear Squadron,WIND,Beast,Tuner Monster,NA,NA
Hope for Escape,SPELL/TRAP,Normal,Normal Trap,NA,NA
Horn Imp,DARK,Fiend,Normal Monster,NA,NA
Horn of Heaven,SPELL/TRAP,Counter,Counter Trap,NA,NA
Horn of Light,SPELL/TRAP,Equip,Equip Spell,NA,NA
Horn of Olifant,SPELL/TRAP,Normal,Normal Trap,NA,NA
Horn of the Phantom Beast,SPELL/TRAP,Normal,Normal Trap,NA,NA
Horn of the Unicorn,SPELL/TRAP,Equip,Equip Spell,NA,NA
Horseytail,WIND,Plant,Effect Monster,NA,NA
Horseytail Token,WIND,Plant,Token,NA,NA
Horus the Black Flame Dragon LV4,FIRE,Dragon,Effect Monster,NA,NA
Horus the Black Flame Dragon LV6,FIRE,Dragon,Effect Monster,NA,NA
Horus the Black Flame Dragon LV8,FIRE,Dragon,Effect Monster,NA,NA
Horus' Servant,FIRE,Beast-Warrior,Effect Monster,NA,NA
Hoshiningen,LIGHT,Fairy,Effect Monster,NA,NA
Hot Red Dragon Archfiend,DARK,Dragon,Synchro Monster,NA,NA
Hot Red Dragon Archfiend Abyss,DARK,Dragon,Synchro Monster,NA,NA
Hot Red Dragon Archfiend Bane,DARK,Dragon,Synchro Monster,NA,NA
Hot Red Dragon Archfiend King Calamity,DARK,Dragon,Synchro Monster,NA,NA
Hourglass of Courage,LIGHT,Fairy,Effect Monster,NA,NA
Hourglass of Life,LIGHT,Fairy,Normal Monster,NA,NA
House Dragonmaid,LIGHT,Dragon,Fusion Monster,NA,NA
House Duston,LIGHT,Fiend,Effect Monster,NA,NA
House of Adhesive Tape,SPELL/TRAP,Normal,Normal Trap,NA,NA
Howl of the Wild,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Howling Insect,EARTH,Insect,Effect Monster,NA,NA
"Hraesvelgr, the Desperate Doom Eagle",WIND,Winged Beast,Link Monster,NA,NA
HTS Psyhemuth,EARTH,Psychic,Synchro Monster,NA,NA
Huaquero of the Golden Land,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Huge Revolution,SPELL/TRAP,Normal,Normal Trap,NA,NA
Human-Wave Tactics,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Humanoid Slime,WATER,Aqua,Normal Monster,NA,NA
Humanoid Worm Drake,WATER,Aqua,Fusion Monster,NA,NA
Humhumming the Key Djinn,WATER,Fiend,XYZ Monster,NA,NA
Humid Winds,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Humpty Grumpty,DARK,Zombie,Effect Monster,NA,NA
Hundred Dragon,WIND,Dragon,Effect Monster,NA,NA
Hundred Eyes Dragon,DARK,Dragon,Synchro Monster,NA,NA
Hundred-Footed Horror,DARK,Insect,Effect Monster,NA,NA
Hungry Burger,DARK,Warrior,Ritual Monster,NA,NA
Hunter Dragon,DARK,Dragon,Normal Monster,NA,NA
Hunter of Black Feathers,LIGHT,Beast-Warrior,Effect Monster,NA,NA
Hunter Owl,WIND,Winged Beast,Effect Monster,NA,NA
Hunter Spider,EARTH,Insect,Normal Monster,NA,NA
Hunting Instinct,SPELL/TRAP,Normal,Normal Trap,NA,NA
Hurricail,WIND,Spellcaster,Normal Monster,NA,NA
Hushed Psychic Cleric,EARTH,Psychic,Effect Monster,NA,NA
Hydra Viper,WATER,Reptile,Effect Monster,NA,NA
Hydro Genex,WATER,Machine,Synchro Monster,NA,NA
Hydro Pressure Cannon,SPELL/TRAP,Equip,Equip Spell,NA,NA
Hydrogeddon,WATER,Dinosaur,Effect Monster,NA,NA
"Hydrotortoise, the Empowered Warrior",WATER,Warrior,Effect Monster,NA,NA
Hyena,EARTH,Beast,Effect Monster,NA,NA
Hymn of Light,SPELL/TRAP,Ritual,Ritual Spell,NA,NA
Hyo,WATER,Warrior,Normal Monster,NA,NA
Hyosube,WATER,Aqua,Normal Monster,NA,NA
Hyozanryu,LIGHT,Dragon,Normal Monster,NA,NA
Hyper Blaze,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Hyper Galaxy,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Hyper Hammerhead,EARTH,Dinosaur,Effect Monster,NA,NA
Hyper Metamorphosis,SPELL/TRAP,Weevil,Skill Card,NA,NA
Hyper Psychic Blaster,EARTH,Psychic,Synchro Monster,NA,NA
Hyper Psychic Blaster/Assault Mode,EARTH,Psychic,Effect Monster,NA,NA
Hyper Psychic Riser,EARTH,Psychic,Synchro Monster,NA,NA
Hyper Synchron,LIGHT,Machine,Tuner Monster,NA,NA
Hyper-Ancient Shark Megalodon,WATER,Fish,Effect Monster,NA,NA
Hypernova Burst,SPELL/TRAP,Normal,Normal Spell,NA,NA
Hypnocorn,DARK,Beast,Effect Monster,NA,NA
Hypnosister,WIND,Psychic,Effect Monster,NA,NA
Hysteric Fairy,LIGHT,Fairy,Effect Monster,NA,NA
Hysteric Party,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Hysteric Sign,SPELL/TRAP,Continuous,Continuous Spell,NA,NA
I'm Just Gonna Attack!,SPELL/TRAP,Joey Wheeler,Skill Card,NA,NA
I:P Masquerena,DARK,Cyberse,Link Monster,NA,NA
Ib the World Chalice Justiciar,WATER,Spellcaster,Synchro Tuner Monster,Banned,Banned
Ib the World Chalice Priestess,WATER,Spellcaster,Link Monster,NA,NA
Ibicella Lutea,EARTH,Plant,Effect Monster,NA,NA
Icarus Attack,SPELL/TRAP,Normal,Normal Trap,NA,NA
Ice Beast Zerofyne,WATER,Winged Beast,XYZ Monster,NA,NA
Ice Coffin Token,WATER,Aqua,Token,NA,NA
Ice Dragon's Prison,SPELL/TRAP,Normal,Normal Trap,NA,NA
Ice Hand,WATER,Aqua,Effect Monster,NA,NA
Ice Master,WATER,Spellcaster,Effect Monster,NA,NA
Ice Princess Zereort,WATER,Winged Beast,XYZ Monster,NA,NA
Ice Queen,WATER,Spellcaster,Effect Monster,NA,NA
Ice Water,WATER,Aqua,Normal Monster,NA,NA
Icy Breeze Refrain,SPELL/TRAP,Normal,Normal Trap,NA,NA
Icy Crevasse,SPELL/TRAP,Normal,Normal Trap,NA,NA
Idaten the Conqueror Star,LIGHT,Warrior,Fusion Monster,NA,NA
Ido the Supreme Magical Force,DARK,Fiend,Effect Monster,NA,NA
Igknight Burst,SPELL/TRAP,Continuous,Continuous Trap,NA,NA
Igknight Cavalier,FIRE,Warrior,Pendulum Normal Monster,NA,NA
Igknight Champion,FIRE,Warrior,Effect Monster,NA,NA
Igknight Crusader,FIRE,Warrior,Pendulum Normal Monster,NA,NA
Igknight Gallant,FIRE,Warrior,Pendulum Normal Monster,NA,NA
Igknight Lancer,FIRE,Warrior,Effect Monster,NA,NA
Igknight Margrave,FIRE,Warrior,Pendulum Normal Monster,NA,NA
Igknight Paladin,FIRE,Warrior,Pendulum Normal Monster,NA,NA
Igknight Reload,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Igknight Squire,FIRE,Warrior,Pendulum Normal Monster,NA,NA
Igknight Templar,FIRE,Warrior,Pendulum Normal Monster,NA,NA
Igknight Veteran,FIRE,Warrior,Pendulum Normal Monster,NA,NA
Igknights Unite,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
"Ignis Heat, the True Dracowarrior",FIRE,Wyrm,Effect Monster,NA,NA
Ignister A.I.Land,SPELL/TRAP,Field,Field Spell,NA,NA
"Ignister Prominence, the Blasting Dracoslayer",FIRE,Dragon,Synchro Monster,NA,NA
Ignition Beast Volcannon,EARTH,Machine,Fusion Monster,NA,NA
Ignition Phoenix,SPELL/TRAP,Field,Field Spell,NA,NA
Ignoble Knight of Black Laundsallyn,DARK,Warrior,Effect Monster,NA,NA
Ignoble Knight of High Laundsallyn,DARK,Warrior,Synchro Monster,NA,NA
"Ikelos, the Dream Mirror Mara",DARK,Fairy,Effect Monster,NA,NA
"Ikelos, the Dream Mirror Sprite",LIGHT,Fairy,Effect Monster,NA,NA
Il Blud,DARK,Zombie,Gemini Monster,NA,NA
Ill Witch,LIGHT,Spellcaster,Normal Monster,NA,NA
Illusion Balloons,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Illusion Magic,SPELL/TRAP,Quick-Play,Quick-Play Spell,NA,NA
Illusionist Faceless Mage,DARK,Spellcaster,Normal Monster,NA,NA
